culmino_estudio,genero,ingreso_mensual,horas_semanales,ingreso_primer_empleo,categoria_ocupacional,tipo_contrato,sector_laboral,tamanio_empresa,ocupacion_cod,actividad_economica_cod,titulado,cuadro_merito,postgrado,idioma_extranjero,practicas_preprof,gestion_universidad,distrito,salario_hora,departamento_id,carrera_id
1.0,2.0,2000.0,40.0,2.0,3.0,5.0,5.0,5.0,419,6419,0.0,2.0,2.0,2.0,1.0,2.0,SANTIAGO DE SURCO,11.627906976744185,15,241
1.0,1.0,1000.0,48.0,2.0,3.0,1.0,5.0,4.0,362,4759,2.0,2.0,2.0,4.0,1.0,1.0,JOSE LEONARDO ORTIZ,4.844961240310078,14,205
1.0,2.0,1700.0,40.0,0.0,3.0,1.0,5.0,3.0,376,4659,0.0,1.0,2.0,2.0,2.0,2.0,EL AGUSTINO,9.883720930232558,15,7
1.0,1.0,2000.0,47.0,1.0,3.0,2.0,5.0,3.0,381,8690,2.0,2.0,2.0,3.0,1.0,1.0,INDEPENDENCIA,9.896091044037606,15,54
1.0,2.0,1000.0,47.0,1.0,3.0,5.0,5.0,1.0,381,4100,1.0,1.0,2.0,2.0,1.0,2.0,LA VICTORIA,4.948045522018803,15,82
1.0,2.0,1700.0,44.0,0.0,3.0,1.0,5.0,5.0,421,729,2.0,2.0,2.0,3.0,1.0,2.0,SAN BORJA,8.985200845665963,15,241
1.0,2.0,2500.0,46.0,3.0,3.0,2.0,5.0,4.0,251,6920,1.0,1.0,1.0,3.0,1.0,1.0,COMAS,12.63902932254803,15,82
1.0,1.0,2500.0,40.0,0.0,3.0,2.0,5.0,5.0,319,4659,2.0,1.0,2.0,3.0,2.0,1.0,SANTIAGO DE SURCO,14.534883720930232,15,207
1.0,2.0,1200.0,46.0,2.0,3.0,2.0,5.0,2.0,419,6419,1.0,1.0,2.0,3.0,1.0,1.0,HUARAL,6.066734074823054,15,2
1.0,2.0,3000.0,40.0,0.0,3.0,2.0,5.0,5.0,235,8620,1.0,1.0,1.0,3.0,1.0,1.0,CARABAYLLO,17.441860465116278,15,274
1.0,2.0,2500.0,36.0,0.0,3.0,2.0,5.0,5.0,235,8620,1.0,2.0,2.0,4.0,1.0,1.0,LUYA,16.149870801033593,1,287
1.0,1.0,1200.0,44.0,3.0,3.0,2.0,5.0,3.0,421,146,1.0,2.0,2.0,1.0,1.0,1.0,TRUJILLO,6.342494714587739,13,181
1.0,1.0,675.0,40.0,0.0,3.0,3.0,5.0,1.0,423,2100,1.0,2.0,2.0,1.0,1.0,1.0,SAN JUAN DE LURIGANCHO,3.9244186046511627,15,160
1.0,2.0,1200.0,51.0,0.0,3.0,2.0,5.0,3.0,356,8620,2.0,1.0,2.0,2.0,1.0,1.0,SAN JUAN DE MIRAFLORES,5.471956224350206,15,42
1.0,1.0,4800.0,52.0,0.0,3.0,5.0,5.0,2.0,254,6910,1.0,2.0,2.0,4.0,1.0,1.0,PUEBLO LIBRE,21.466905187835422,15,89
1.0,1.0,4400.0,45.0,1.0,3.0,1.0,5.0,3.0,251,6920,1.0,2.0,1.0,3.0,1.0,1.0,SAN MARTIN DE PORRES,22.739018087855296,15,97
1.0,2.0,2500.0,40.0,0.0,3.0,1.0,2.0,5.0,258,8423,1.0,1.0,2.0,2.0,1.0,2.0,COMAS,14.534883720930232,15,90
1.0,2.0,1100.0,30.0,0.0,3.0,2.0,5.0,5.0,241,8530,0.0,2.0,1.0,2.0,1.0,2.0,PUNO,8.527131782945736,21,87
1.0,2.0,4000.0,48.0,4.0,3.0,2.0,5.0,3.0,251,6920,2.0,1.0,2.0,2.0,1.0,2.0,CALLAO,19.379844961240313,7,2
1.0,1.0,1800.0,44.0,0.0,3.0,2.0,5.0,3.0,233,8620,1.0,1.0,1.0,3.0,1.0,1.0,SAN MARTIN DE PORRES,9.513742071881607,15,283
1.0,1.0,4200.0,36.0,7.0,3.0,1.0,2.0,5.0,411,8610,1.0,1.0,1.0,2.0,1.0,2.0,CHICLAYO,27.131782945736436,14,274
