codigo,etiqueta
8610,POSTA MEDICA
6419,ENTIDAD FINANCIERA
8411,INSTITUTO NACIONAL DE ESTADISTICA E INFORMATICA
8620,CLINICA PARTICULAR
8423,PODER JUDICIAL
6910,ESTUDIO JURIDICO
8510,INSTITUCION EDUCATIVA NIVEL PRIMARIA
6920,ESTUDIO CONTABLE
4100,EMPRESA CONSTRUCTORA
8530,UNIVERSIDAD PRIVADA
4799,VENTA DE PRODUCTOS DE BELLEZA POR CATALOGO
8549,SERVICIO DE ENSEÑANZA PARTICULAR
729,EMPRESA MINERA
8521,INSTITUCION EDUCATIVA PARTICULAR PRIMARIA Y SECUNDARIA
8412,MINISTERIO DE SALUD
6110,TELECOMUNICACIONES
5610,RESTAURANTE
8413,MINISTERIO DE AGRICULTURA
4711,VENTA DE ABARROTES AL POR MENOR EN TIENDA
4290,CONSTRUCCION CIVIL
4772,FARMACIA
5510,SERVICIO DE HOSPEDAJE
4921,EMPRESA DE TRANSPORTE PUBLICO
1410,FABRICACION DE PRENDAS DE VESTIR
1030,PROCESAMIENTO DE HORTALIZAS PARA EXPORTACION
7911,AGENCIA DE VIAJES
7110,SERVICIO DE INGENIERIA CIVIL
5813,EDICION DE PERIODICO
7500,VETERINARIA
6810,INMOBILIARIA
111,CULTIVO DE PAN LLEVAR
9499,ONG
4752,VENTA DE MATERIALES DE CONSTRUCCION
7310,EMPRESA DE PUBLICIDAD
4922,SERVICIO DE MOTOTAXI
4630,VENTA AL POR MAYOR DE ABARROTES DE CONSUMO MASIVO
150,CULTIVO DE PAN LLEVAR Y CRIANZA DE ANIMAL
5229,AGENCIA ADUANERA
311,EMPRESA PESQUERA
4510,VENTA DE AUTOMOVILES
8890,QALI WARMA
8690,SERVICIO DE ENFERMERIA PARTICULAR
4719,TIENDAS POR DEPARTAMENTO
4771,VENTA DE ROPA POR MENOR EN TIENDA
6020,CANAL DE TELEVISION
9700,VIVIENDA PARTICULAR
1071,PASTELERIA
2511,FABRICACION DE ESTRUCTURAS METALICAS
6190,SERVICIO DE INTERNET
6512,EMPRESA DE SEGUROS
4759,VENTA DE ELECTRODOMESTICOS
7810,SERVICE DE PERSONAL
321,CRIANZA Y EXPORTACION DE LANGOSTINO
8220,CALL CENTER
4923,SERVICIO DE TRANSPORTE DE CARGA
1050,ELABORACION DE PRODUCTOS LACTEOS
4210,CONSTRUCCION DE CARRETERAS
8730,CASA DE REPOSO
7490,CONSULTORIA FORESTAL
2395,ELABORACION DE MATERIALES DE CONSTRUCCION
4321,SERVICIO DE INSTALACIONES ELECTRICAS
7820,ACTIVIDADES DE EMPLEO TEMPORAL
121,CULTIVO Y EXPORTACION DE UVA
9511,SERVICIO DE REPARACION DE COMPUTADORAS
3510,COMERCIALIZACION DE ENERGIA
9102,GESTION DEL PATRIMONIO CULTURAL
7120,CERTIFICACIONES DEL PERU
2100,LABORATORIO FARMACEUTICO
4620,SERVICIO DE COMERCIALIZACION DE PRODUCTO AGRICOLA
141,CRIANZA DE GANADO VACUNO
9000,"ORGANIZAR EVENTOS MUSICALES, CULTURALES"
1313,SERVICIO DE TINTORERIA
2392,FABRICACION DE LADEILLOS
4773,VENTA AL POR MENOR DE PRODUCTOS NO ESPECIFICADO
3011,CONSTRUCCION Y REPARACION DE EMBARCACIONES NAVALES
2920,PRODUCCION Y VENTA DE CARROCERIAS
3312,SERVICIO DE REPARACION DE EQUIPOS INDUSTRIALES
4690,COMERCIO EXTERIOR
4741,VENTA DE CELULARES
2410,SIDERURGIA
2610,EMPRESA DEDICADA A LA FABRICACION DE TRANSFORMADORES DE POTENCIA
4730,GRIFO
1811,IMPRENTA
6630,SERVICIO DE FONDO DE PENSIONES
6411,BANCO DE LA NACION
4641,COMERCIALIZACION DE PRENDAS DE DAMA AL POR MAYOR Y MENOR
891,EXTRACION PROCESAMIENTO Y EMBARQUE DE CONCENTRADO DE FOSFATO
6202,CONSULTORA DE SISTEMAS
1020,PROCESAMIENTO CONSERVACION DE PRODUCTOS PESQUEROS
4649,VENTA AL POR MAYOR Y MENOR DE PRODUCTOS DE TOCADOR Y PERFUMERIA
6820,INMOBILIARIA
9311,GIMNASIO
4520,EMPRESA DE SERVICIOS AUTOMOTRIZ POST VENTA
610,EXTRACCION DE HIDROCSRBUROS Y TRANSPORTE DE GAS
7220,CONSULTORIA SOCIAL
7210,SERVICIOS DE REMEDICION AMBIENTAL
6511,VENTA DE SEGUROS DE VIDA
4659,VENTA DE IMPRESORAS Y FOTOCOPIADORA
7020,SERVICIOS DE CONSULTORIA EN PROYECTOS DE INVERSION PUBICA
5920,SERVICIO DE PRODUCCION AUDIOVISUAL
8299,REGISTRO DE PROPIEDADES VEHÃCULOS EMPRESAS
8010,SERVICIO DE SEGURIDAD
112,CULTIVO DE ARROZ
8550,SERVICIO DE ASESORAMIENTO DE TESIS
6201,EMPRESA DE DESARROLLO DE SOFTWARE
7730,SERVICIO DE ALQUILER DE MAQUINARIA Y PROYECTOS DE TRANSPORTES
4651,VENTA DE EQUIPOS DE COMPUTO
7912,ACTIVIDADES DE OPERADORES TURISTICOS
8522,ESCUELA DE CONDUCTORES CONDUCE PERU
4330,SERVICIO DE PINTADO DE VIVIENDA
4390,ALQUILER Y VENTA DE MAQUINARIA PESADA
8422,MINISTERIO DE DEFENSA
4669,VENTA DE RESPUESTOS PARA MAQUINARIA PESADA
4652,PROVEEDOR DE EQUIPOS DE TELECOMUNICACIONES (HUAWEI DEL PERU)
4663,VENTA DE MATERIALES DE CONSTRUCCION AL POR MAYOR
4530,SERVICIO DE IMPORTACION DE AUTOPARTES
7320,CONSULTORIA EN INVESTIGACION DE MERCADO
6391,AGENCIA DE NOTICIAS
6312,SERVICIO DE RED SOCIAL- WAKE UP NOW
6311,SERVICIO DE TIPEO E IMPRESION
6612,SERVICIO DE ASESORIA DE BOLSA DE VALORES
6492,"PRESTAMOS CON GARANTIA DE JOYAS, VEHICULOS."
5120,TRANSPORTE DE CARGA AEREA Y TERRESTRE
5110,SERVICIOS DE TRANSPORTE AEREO
5011,AGENCIAMIENTO MARITIMO
4761,VENTA DE ARTICULOS DE OFICINA Y ESCRITORIO
8291,GESTION DE RIESGOS DE CREDITO
8292,EMPAQUES FLEXIBLES
6010,DIFUSION RADIAL Y ESCRITA
7710,SERVICIO DE ALQUILER DE VEHICULOS DE TRANSPORTE
7830,OUTSOURCING DE GESTION DE PERSONAL
5630,CAFETERIA COFFEE SHOP
5629,NUTRICIÃN COCINA ALTA
125,CULTIVO PROCESAMIENTO ENVASADO DISTRIBUCION DE FRUTAS
9200,TRAGAMONEDAS
2910,FABRICACION DE BUSES
3212,BISUTERIA
3290,EMPRESA MANUFACTURERA
3311,SERVICIO DE MANTENIMIENTO Y REPARACION DE CILINDEOS HIDRAULICOS
240,REFORESTACION DE AREAS NATURALES EN POS ABANDONO
210,CULTIVO Y VENTA DE ARBOLES FORESTALES
146,GRANJA AVICOLA
9329,AGENCIA DE ENTRETENIMIENTO
145,CRIANZA DE PORCINOS
127,CULTIVO Y VENTA DE CACAO
3600,EMPRESA PRESTADORA DE SERVIO SEDAJULIACA S.A.
9411,AL GREMIO EMPRESARIAL
9412,COLEGIO DE ABOGADOS CAJAMARCA
322,PISCIGRANJA
1061,ELABORACION DE HARINA
1430,TEJIDO DE PRENDAS
1621,TRANSFORMACION INDUSTRIAL DE MADERA A TRIPLAY
1820,PRODUCCION DE GRABACIONES
1311,EMPRESA TEXTIL
2432,FUNDICION DE METALES NO FERROSO
1010,SACRIFICIOS DE ANIMALES DOMESTICOS
990,PERFORACION DIAMANTINA LABORACION DE PLOMOFABRICAION DE MAQUINA PERFORACION
2599,EMPRESA DE PRODUCCION DE TUERCAS Y PERNOS
910,PERFORACION Y MANTENIMIENTO DE POZOS PETROLEROS
2023,LABORATORIO COSMETICO
2220,FABRICACION DE PRODUCTOS PLASTICOS
2394,CEMENTOS  YURA
4220,CONSTRUCCION DE OBRA PUBLICA Y PRIVADA
8542,SERVICIO DE ENSEÑANZA DE MUSICA
9602,SERVICIO DE ESTETICA
113,CULTIVO DE MACA
114,CULTIVO PROCESAMIENTO DE CAÑA DE AZUCAR Y COMERCIALIZACION DE AZUCAR REFINADA
9601,LAVANDERIA
9900,ORGANIZACION INTERNACIONAL DE DESARROLLO COMUNITARIO CENTRADO EN LA NIÑEZ
9522,SERVICIOS TECNICOS DE ELECTRODOMESTICOS
7729,ALQUILER DE INTRUMENTOS Y EQUIPOS DE SONIDOS
7410,CONSULTORIA GRAFICA
7420,EMPRESAS DE SERVICIOS DE FOTOGRAFÍA PROFESIONAL
8810,ALBERGUE DE ADULTO MAYORES
8790,TRABABO EN COMUNIDADES RURALRES PARA PREVENVION DE USO DE DROGAS
9609,SERVICIO DE DECORACION DE EVENTOS SOCIALES
8219,"SERVICIO DE COPIAS, TIPEOS, IMPRESIONES."
8121,SERVICIOS INTEGRALES DE LIMPIEZA
8020,SERVICIOS DE SEGURIDAD CORPORATIVOS
8030,ESCUELA DE OFICIALES DE LA POLICIA NACIONAL DEL PERU
9491,PARROQUIA
9521,MANTENIMIENTO DE SERVICIOS ELECTRONICOS
9312,SERVICIOS DEPORTIVOS
