carrera,carrera_id
ACUICULTURA,1
ADMINISTRACIÓN,2
ADMINISTRACIÓN DE EMPRESAS,3
ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,4
ADMINISTRACIÓN DE NEGOCIOS,5
ADMINISTRACIÓN DE NEGOCIOS GLOBALES,6
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES ( ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES),7
ADMINISTRACIÓN DE SERVICIOS,8
ADMINISTRACIÓN DE SERVICIOS TURÍSTICOS (ADMINISTRACIÓN Y SERVICIOS TURÍSTICOS),9
ADMINISTRACIÓN EN SALUD,10
ADMINISTRACIÓN EN TURISMO,11
ADMINISTRACIÓN EN TURISMO Y HOTELERÍA (ADMINISTRACIÓN DE TURISMO Y HOTELERÍA ; ADMINISTRACIÓN HOTELERA Y DE TURISMO Y ADMINISTRACIÓN HOTELERA Y TURISMO),12
"ADMINISTRACIÓN EN TURISMO, HOTELERÍA Y GASTRONOMÍA",13
ADMINISTRACIÓN HOTELERA,14
ADMINISTRACIÓN HOTELERA Y ECOTURISMO,15
ADMINISTRACIÓN TURÍSTICA,16
ADMINISTRACIÓN TURÍSTICA HOTELERA (ADMINISTRACIÓN TURÍSTICO  HOTELERA),17
ADMINISTRACIÓN Y EMPRENDIMIENTO,18
ADMINISTRACIÓN Y FINANZAS,19
ADMINISTRACIÓN Y GERENCIA,20
ADMINISTRACIÓN Y GESTIÓN EMPRESARIAL,21
ADMINISTRACIÓN Y MARKETING,22
ADMINISTRACIÓN Y RECURSOS HUMANOS,23
ADMINISTRACIÓN Y SISTEMAS,24
AGRONOMÍA,25
AGRONOMÍA TROPICAL,26
ANTROPOLOGÍA,27
ANTROPOLOGÍA SOCIAL,28
ARQUEOLOGÍA,29
ARQUEOLOGÍA E HISTORIA,30
ARQUITECTURA,31
ARQUITECTURA Y DISEÑO DE INTERIORES,32
ARQUITECTURA Y URBANISMO,33
"ARQUITECTURA, URBANISMO Y ARTES",34
ARTE CULINARIO,35
ARTE Y DISEÑO EMPRESARIAL,36
ARTE Y DISEÑO GRÁFICO EMPRESARIAL (ARTES Y DISEÑO GRAFICO EMPRESARIAL),37
ARTES (ARTES),38
ARTES INDUSTRIALES,39
BANCA Y SEGUROS,40
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,41
BIOLOGÍA,42
BIOLOGÍA EN ACUICULTURA,43
BIOLOGÍA MARINA Y ECONEGOCIOS,44
BIOLOGÍA Y MICROBIOLOGÍA,45
BROMATOLOGÍA Y NUTRICIÓN,46
CIENCIA POLÍTICA,47
CIENCIA POLÍTICA Y GOBIERNO,48
CIENCIA Y TECNOLOGÍA DE LA COMUNICACIÓN (CIENCIAS Y TECNOLOGIAS DE LA COMUNICACIÓN),49
CIENCIAS ADMINISTRATIVAS (CIENCIAS DE LA ADMINISTRACION),50
CIENCIAS AGRARIAS,51
CIENCIAS BIOLÓGICAS,52
CIENCIAS CONTABLES,53
CIENCIAS CONTABLES Y FINANCIERAS,54
CIENCIAS DE LA COMUNICACIÓN,55
CIENCIAS DE LA COMUNICACIÓN SOCIAL (COMUNICACIÓN SOCIAL),56
CIENCIAS DE LA COMUNICACIÓN Y PUBLICIDAD,57
CIENCIAS DE LA NUTRICIÓN,58
CIENCIAS DEL DEPORTE,59
CIENCIAS ECONÓMICAS,60
CIENCIAS EMPRESARIALES,61
CIENCIAS FARMACÉUTICAS Y BIOQUÍMICA,62
CIENCIAS FORESTALES,63
CIENCIAS FORESTALES Y DEL AMBIENTE,64
CIENCIAS FÍSICO MATEMÁTICA (FÍSICO  MATEMÁTICAS),65
COMERCIO Y NEGOCIOS INTERNACIONALES,66
COMPUTACIÓN CIENTÍFICA,67
COMPUTACIÓN E INFORMÁTICA,68
COMUNICACIONES (COMUNICACIÓN),69
COMUNICACIÓN AUDIOVISUAL,70
COMUNICACIÓN AUDIOVISUAL Y MEDIOS INTERACTIVOS,71
COMUNICACIÓN E IDIOMA INGLÉS,72
COMUNICACIÓN E IMAGEN EMPRESARIAL,73
COMUNICACIÓN LINGÜÍSTICA Y LITERATURA,74
COMUNICACIÓN PARA EL DESARROLLO,75
COMUNICACIÓN Y MARKETING,76
COMUNICACIÓN Y PERIODISMO,77
COMUNICACIÓN Y PUBLICIDAD,78
CONSERVACIÓN DE SUELOS Y AGUA,79
CONSTRUCCIONES METÁLICAS - SOLDADURA INDUSTRIAL,80
CONSTRUCCIÓN CIVIL,81
CONTABILIDAD,82
CONTABILIDAD ADMINISTRATIVA Y AUDITORIA,83
"CONTABILIDAD AUDITORÍA Y FINANZAS (CONTABILIDAD, FINANZAS Y AUDITORÍA)",84
CONTABILIDAD Y ADMINISTRACIÓN,85
CONTABILIDAD Y AUDITORIA,86
CONTABILIDAD Y FINANZAS,87
DANZA,88
DERECHO,89
DERECHO Y CIENCIAS POLÍTICAS (DERECHO Y CIENCIA POLÍTICA),90
DESARROLLO AMBIENTAL,91
DISCAPACIDAD INTELECTUAL Y MULTIDISCAPACIDAD,92
DISEÑO GRÁFICO,93
DISEÑO INDUSTRIAL,94
EBANISTERÍA Y DECORACIÓN,95
ECOLOGÍA,96
ECONOMÍA,97
ECONOMÍA AGRARIA,98
ECONOMÍA PÚBLICA,99
ECONOMÍA Y FINANZAS,100
ECONOMÍA Y NEGOCIOS INTERNACIONALES,101
ECOTURISMO,102
EDUCACIÓN (CIENCIAS DE LA EDUCACION),103
EDUCACIÓN ARTÍSTICA,104
EDUCACIÓN ARTÍSTICA - MÚSICA,105
"EDUCACIÓN BÁSICA, INICIAL Y PRIMARIA",106
EDUCACIÓN FÍSICA,107
EDUCACIÓN FÍSICA Y DEPORTES,108
EDUCACIÓN INICIAL,109
EDUCACIÓN INICIAL - NIÑEZ TEMPRANA,110
EDUCACIÓN INICIAL - RETARDO MENTAL,111
EDUCACIÓN INICIAL BILINGÜE,112
EDUCACIÓN INICIAL Y ARTE,113
EDUCACIÓN PRIMARIA,114
EDUCACIÓN PRIMARIA - EDUCACIÓN BÁSICA ALTERNATIVA,115
EDUCACIÓN PRIMARIA INTERCULTURAL,116
EDUCACIÓN PRIMARIA Y BILINGÜE,117
EDUCACIÓN PRIMARIA Y BILINGÜE INTERCULTURAL,118
EDUCACIÓN PRIMARIA Y PROBLEMAS DE APRENDIZAJE,119
EDUCACIÓN SECUNDARIA,120
EDUCACIÓN SECUNDARIA - ARTE,121
EDUCACIÓN SECUNDARIA - BIOLOGÍA Y QUÍMICA,122
EDUCACIÓN SECUNDARIA - CIENCIA TECNOLOGÍA Y AMBIENTE,123
EDUCACIÓN SECUNDARIA - CIENCIAS BIOLÓGICAS Y QUÍMICA,124
