codigo,etiqueta
239,ENFERMERA
381,ASISTENTE ADMINISTRATIVO
364,ADMINISTRADOR DE SU PROPIO NEGOCIO
419,ANALISTA DE CREDITOS
254,ABOGADO
219,INGENIERO CIVIL
258,ASISTENTE EN FUNCION FISCAL
252,ADMINISTRADOR
236,ODONTOLOGO
243,PROFESOR DE PRIMARIA
217,ANALISTA DE SISTEMAS
235,MEDICO
218,ARQUITECTO
268,PSICOLOGA
251,CONTADOR
919,VENDEDORA DE PRODUCTOS DE BELLEZA POR CATALOGO
262,ECONOMISTA
454,RECEPCIONISTA
242,PROFESOR DE SECUNDARIA
244,DOCENTE DE EDUCACION INICIAL
451,CAJERA
423,EMPLEADO ADMINISTRATIVO
413,ASISTENTE DE GERENCIA
421,EMPLEADO DE ALMACEN
233,NUTRICIONISTA
462,AUXILIAR DE OFICINA
247,PROFESOR PARTICULAR
418,EMPLEADO DE PLANILLAS
241,PROFESOR DE EDUCACION SUPERIOR
266,PERIODISTA
411,JEFE DE PERSONAL
335,SUPERVISOR DE PRODUCCION
391,DISEÑADOR GRAFICO
572,VENDEDOR
375,EJECUTIVO COMERCIAL
415,DIGITADOR
461,ENCUESTADOR
238,QUIMICO FARMACEUTICO
317,DIBUJANTE DE PLANOS
312,ASISTENTE TECNICO DE OBRA
361,SUPERVISOR DE VENTAS
945,ATENCION AL CLIENTE
319,ASISTENTE DE SISTEMAS
237,VETERINARIO
229,CONSULTOR AMBIENTAL
367,PROMOTOR SOCIAL
227,INGENIERO INDUSTRIAL
455,TELEOPERADOR
365,ASISTENTE DE MARKETING
347,ASISTENTE DENTAL
342,TECNICO DE CAMPO
269,TRABAJADORA SOCIAL
256,FISCAL ADJUNTO PROVINCIAL
372,AGENTE DE SEGUROS
612,AGRICULTOR
313,TECNICO ELECTRONICO
321,REPARADOR DE COMPUTADORAS
221,INGENIERO DE TELECOMUNICACIONES
377,INSPECTOR TRIBUTARIO
271,PUBLICISTA
942,AYUDANTE DE COCINA
861,ALBAÑIL
318,ASISTENTE DE PRODUCCION
263,ARQUEOLOGO
234,INGENIERO AGRONOMO
222,INGENIERO MECANICO
246,PROFESOR DE ACADEMIA
253,ANALISTA DE RECURSOS HUMANOS
314,TECNICO MECANICO
531,AUXILIAR DE ENFERMERIA
267,TRADUCTORA
311,ASISTENTE DE LABORATORIO
376,AGENTE DE COMPRAS
971,AYUDANTE DE PRODUCTOR AGROPECUARIO
366,ASISTENTE TECNICO CONTABLE
362,SUPERVISOR DE VENTAS
412,ASISTENTE REGISTRAL
124,GERENTE GENERAL
782,MECANICO AUTOMOTRIZ
885,MOTOTAXISTA
611,CAPATAZ AGRICOLA
512,GUIA DE TURISMO
563,GUARDIA DE PRISION DEL PODER JUDICIAL DE AMAZONAS
453,GESTOR DE COBRANZA
216,ESTADISTA
374,AGENTE DE TURISMO
379,ORGANIZADORA DE EVENTOS MUSICALES
223,INGENIERO QUIMICO
225,INGENIERO MINERO
127,GERENTE DE DESARROLLO HUMANO ECONOMICO SOCIAL Y SERVICIO A LA CIUDAD
621,PRODUCTOR PECUARIO
231,BIOLOGA
348,TERAPISTA
778,CARPINTERO
844,CONFECCIONISTA DE BISUTERIA
344,INSPECTOR SANITARIO
322,FOTOGRAFO
382,FEDATARIO FISCALIZADOR
122,GERENTE GENERAL
352,TECNICA ENFERMERA
523,MOZO
355,TECNICO RADIOLOGO
144,GERENTE DE VENTAS
571,VENDEDORA DE ABARROTES AL POR MAYOR Y MENOR EN TIENDA
383,TECNICO DE MIGRACIONES
396,MUSICO
138,GERENTE TECNICO DE EMPRESA PRIVADA
139,GERENTE DE CONSULTORA DE PROYECTOS
541,COSMETOLOGA
522,COCINERA
316,ASISTENTE DE ANALISTA DE MINAS
282,RELACIONISTA PUBLICA
23,SUB OFICIAL  DE LA POLICÃA
